"group","n","r2","pval","Slope","Slope_lowCI","Slope_highCI","Int","Int_lowCI","Int_highCI","Slope_test","Slope_test_p","Elev_test","Elev_test_p","linetype","linewidth"
"BAER",6,0.163208660296936,0.426981033934543,-1.2429727931233,-3.58754085276558,-0.430651922264174,4.87381346511938,2.88193007867804,6.86569685156072,NA,NA,NA,NA,3,1
"BOLE",24,0.463536683296418,0.000250425285722201,-1.68635110017913,-2.31869765692145,-1.22645573241795,3.23209096452441,2.81213974490914,3.65204218413968,NA,NA,NA,NA,1,2
"COER",14,0.00132808959640125,0.901565776021052,1.31639393953915,0.727416087151972,2.38225829021756,0.262403746724974,-0.429655430007897,0.954462923457845,NA,NA,NA,NA,3,1
"EPMI",28,0.00681912995004455,0.676126581756958,0.896441842392469,0.605938064894815,1.32622131427162,-1.2757735790435,-1.66366121926588,-0.887885938821118,NA,NA,NA,NA,3,1
"GRBU",12,0.056156363830098,0.458340343438612,0.738739745223983,0.389552622017044,1.40093117162928,2.05414415409779,1.46691959963781,2.64136870855778,NA,NA,NA,NA,3,1
"GRSP",12,0.215730248284525,0.128201914272515,3.05891641915855,1.696855705964,5.51429896278774,-0.0234429652799775,-1.70693662558847,1.66005069502852,NA,NA,NA,NA,3,1
"HATE",12,0.000340242634351662,0.95462695297638,-0.772448828462129,-1.48905685325094,-0.400708133668528,4.48940444105709,3.81525384149735,5.16355504061683,NA,NA,NA,NA,3,1
"HEPU",17,0.165499826544049,0.105107116575017,1.17012202644743,0.721406610717795,1.89793874416413,-0.160565673566538,-0.649594516200553,0.328463169067477,NA,NA,NA,NA,3,1
"LEES",23,0.490625988743004,0.000197819506628563,1.41570574671932,1.0295828087787,1.94663580646956,-0.197176619400886,-0.655182296995727,0.260829058193955,NA,NA,NA,NA,1,2
"PELA",6,0.303492106933636,0.257245313820902,-1.06009759318899,-2.85062533345352,-0.394231712563783,4.36090517295682,2.69790042722425,6.02390991868938,NA,NA,NA,NA,3,1
"PEPU",9,0.0242266742002644,0.689246075048245,1.2920368081291,0.582837946088527,2.86419085230062,0.981060780494067,-0.111685814376056,2.07380737536419,NA,NA,NA,NA,3,1
"PHPH",19,0.0494837231441042,0.360007900695804,1.83709445839108,1.13652067871039,2.96951574421041,0.368831664698226,-0.59921981705209,1.33688314644854,NA,NA,NA,NA,3,1
"PILI",13,0.121361799534833,0.243409538327401,0.890183852561239,0.494618597038131,1.6020976487863,0.361238224577307,-0.0426469028232316,0.765123351977845,NA,NA,NA,NA,3,1
"PUTU",28,0.0827423519795212,0.137734494882146,0.973105667130587,0.667412358327628,1.41881496137478,1.14513278990931,0.788110470187905,1.50215510963072,NA,NA,NA,NA,3,1
