"species","RA_leaf_area","embryo_endo_costs","LMA","wood_density","growth_shoot_length","seed_count","scaled_seed_count","maxH","maxRA_leaf_area","mature","lifespan","RA_per_year"
"BAER",0.241846115872668,18.5108766892482,0.0224366666666667,0.5875,154.458333333333,61.6666666666667,0.0140038839818383,2790,0.65515487123225,7,40,0.00604615289681671
"BOLE",0.289621366863529,2.15819230769231,0.0158776595744681,0.8575,169.086956521739,18.5833333333333,0.339533164286606,770,1.58968034667061,1.4,9,0.0321801518737254
"COER",0.298955561195691,0.588616585365854,0.0206282828282828,0.7875,92.1111111111111,15,0.462553237329442,990,0.794741604557591,2.4,12,0.0249129634329742
"EPMI",0.391281979090372,0.0141460697674419,0.0121643274853801,0.725,97.1153846153846,896.107142857143,19.6678122274199,1370,0.908217413336572,2.4,40,0.0097820494772593
"GRBU",1.15583399500184,22.4075832178932,0.0146388888888889,0.725,188.794117647059,5.25,0.0108256522231194,1365,1.2326699937201,5,30,0.0385277998333948
"GRSP",0.396069682995917,7.72806217637109,0.0169166666666667,0.7425,192.275,5.58333333333333,0.0100968956290254,1000,1.37161446370056,2.4,20,0.0198034841497959
"HATE",0.24113997313494,7.55901769985368,0.0516018085106383,0.574285714285714,293.125,7.41666666666667,0.00245328407171794,3005,0.616259395866258,7,40,0.00602849932837349
"HEPU",0.608680215296299,0.221728809055341,0.0204666666666667,0.83,78.9655172413793,27.0588235294118,1.47663201709335,703,1.05623113755514,1.4,20,0.030434010764815
"LEES",0.578707344598861,0.405057448950213,0.0129145299145299,0.79,78.6666666666667,49.1304347826087,0.700307268746828,985,0.983765482663877,2.4,40,0.0144676836149715
"PELA",0.139805803815011,3.3681357934979,0.0203469387755102,0.6675,103.575,20.8333333333333,0.0103033219051206,2140,0.622771307903232,9,40,0.00349514509537528
"PEPU",0.18000217712417,2.53087537167339,0.0297350300325203,0.6575,78.5945945945946,27.6666666666667,0.193902324250104,2010,0.301322201023881,7,40,0.00450005442810424
"PHPH",0.606494492746192,1.39439301350504,0.017421568627451,0.85,95,11.5789473684211,0.0401361300173747,1630,0.995902520184535,2.4,30,0.0202164830915397
"PILI",0.600367268764707,0.18311048951049,0.00857352941176471,0.8425,126.484848484848,19.3846153846154,1.23518088662171,542,1.26290717469101,1.4,7,0.0857667526806724
"PUTU",0.639409615641366,0.86668455472094,0.0100506666666667,0.886666666666667,109.541666666667,8.57142857142857,0.0473091709259873,1420,1.29198713173866,2.4,30,0.0213136538547122
